page_number,framing
1,vc1
2,vc1n
3,vc1-1
4,vc1-1n
5,vc1-2
6,vc1-3
7,vc1-4
8,vc1-5
9,vc2
10,vc2n
11,vc2-1
12,vc2-2
13,vc4-1
14,vc4-1l
15,vc5-1
16,vc5-1l
17,vc7
18,vc7a
19,vc7a-l
20,vc7a-10
21,vc7n
22,vc7x
23,vc7x-1
24,vc8
25,vc8-1
26,vc8-2
27,vc8-3
28,vc8a
29,vc8a-1
30,vc8a-l
31,vc8a-l1
32,vc8n
33,vc9
34,vc9-1
35,vc9-2
36,vc9-3
